secao;numero_citado;tipo;veredito;motivo;conferido_contra;valor_na_fonte
"Resumo";"R$ 17,24 bilhões";"moeda";"CONFERE";"";"documento CVM: ""Resultado Líquido das Operações Continuadas"" = 17.240.000 (R$ mil)";"R$ 17,24 bilhões"
"Resumo";"4,6%";"percentual";"CONFERE";"";"métrica calculada: receita_principal.variacao_pct";"4,6%"
"Resumo";"15,3%";"percentual";"CONFERE";"";"métrica calculada: lucro_liquido.variacao_pct";"-15,3%"
"Faturamento";"R$ 101,69 bilhões";"moeda";"CONFERE";"";"métrica calculada: receita_principal.valor_atual";"R$ 101,69 bilhões"
"Faturamento";"R$ 97,22 bilhões";"moeda";"CONFERE";"";"métrica calculada: receita_principal.valor_anterior";"R$ 97,22 bilhões"
"Faturamento";"4,6%";"percentual";"CONFERE";"";"métrica calculada: receita_principal.variacao_pct";"4,6%"
"Lucro";"R$ 17,24 bilhões";"moeda";"CONFERE";"";"documento CVM: ""Resultado Líquido das Operações Continuadas"" = 17.240.000 (R$ mil)";"R$ 17,24 bilhões"
"Lucro";"R$ 20,36 bilhões";"moeda";"CONFERE";"";"documento CVM: ""Resultado Líquido das Operações Continuadas"" (anterior) = 20.360.000 (R$ mil)";"R$ 20,36 bilhões"
"Lucro";"R$ 24 milhões";"moeda";"CONFERE";"";"documento CVM: ""Resultado de equivalência patrimonial"" (anterior) = 24.000 (R$ mil)";"R$ 24,00 milhões"
"Lucro";"R$ 693 milhões";"moeda";"CONFERE";"";"documento CVM: ""Resultado de equivalência patrimonial"" = -693.000 (R$ mil)";"-R$ 693,00 milhões"
"Lucro";"R$ 2,199 bilhões";"moeda";"CONFERE";"";"documento CVM: ""Perdas pela Não Recuperabilidade de Ativos"" (anterior) = -2.199.000 (R$ mil)";"-R$ 2,20 bilhões"
"Lucro";"R$ 542 milhões";"moeda";"CONFERE";"";"documento CVM: ""Perdas pela Não Recuperabilidade de Ativos"" = -542.000 (R$ mil)";"-R$ 542,00 milhões"
"Lucro";"R$ 100";"reais";"IGNORADO";"";"recurso didático (não conta na taxa)";""
"Lucro";"R$ 16,95";"reais";"CONFERE";"";"métrica calculada: lucro_liquido.contexto_por_100_reais";"R$ 16,95"
"Lucro";"15,3%";"percentual";"CONFERE";"";"métrica calculada: lucro_liquido.variacao_pct";"-15,3%"
"Lucro";"9,8%";"percentual";"CONFERE";"";"métrica calculada: outros_destaques";"9,8%"
"Caixa e Dívidas";"R$ 29,84 bilhões";"moeda";"CONFERE";"";"métrica calculada: endividamento.liquidez_total";"R$ 29,84 bilhões"
"Caixa e Dívidas";"R$ 40,56 bilhões";"moeda";"CONFERE";"";"métrica calculada: endividamento.caixa_anterior";"R$ 40,56 bilhões"
"Caixa e Dívidas";"R$ 98,03 bilhões";"moeda";"CONFERE";"";"métrica calculada: endividamento.divida_bruta";"R$ 98,03 bilhões"
"Caixa e Dívidas";"R$ 103,46 bilhões";"moeda";"CONFERE";"";"métrica calculada: endividamento.divida_bruta_anterior";"R$ 103,46 bilhões"
"Caixa e Dívidas";"R$ 68,19 bilhões";"moeda";"CONFERE";"";"métrica calculada: endividamento.divida_liquida";"R$ 68,19 bilhões"
"Caixa e Dívidas";"R$ 61,83 bilhões";"moeda";"CONFERE";"";"métrica calculada: endividamento.divida_liquida_anterior";"R$ 61,83 bilhões"
"Caixa e Dívidas";"28,8%";"percentual";"CONFERE";"";"métrica calculada: endividamento.variacao_caixa_pct";"-28,8%"
"Caixa e Dívidas";"5,2%";"percentual";"CONFERE";"";"métrica calculada: endividamento.variacao_divida_pct";"-5,2%"
"Positivo";"R$ 101,69 bilhões";"moeda";"CONFERE";"";"métrica calculada: receita_principal.valor_atual";"R$ 101,69 bilhões"
