campo,valor_FundIA,valor_CVM_fonte,confere,arquivo_linha_fonte,faithfulness_RAGAS
receita_principal (atual),"R$ 9,47 bilhoes","9.468.313 mil = R$ 9,47 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L8 (DRE_con),0.00 (BAIXO - artefato)
receita_principal (anterior),"R$ 10,08 bilhoes","10.078.571 mil = R$ 10,08 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L8 (DRE_con),-
receita_principal (variacao),"-6,1%","(9.468.313-10.078.571)/10.078.571 = -6,1%",sim,calc sobre DRE_con L8,-
lucro_liquido (atual),"R$ 1,58 bilhoes","1.579.701 mil = R$ 1,58 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L34 (DRE_con),1.00
lucro_liquido (anterior),"R$ 1,64 bilhoes","1.637.180 mil = R$ 1,64 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L34 (DRE_con),-
lucro_liquido (variacao),"-3,5%","(1.579.701-1.637.180)/1.637.180 = -3,5%",sim,calc sobre DRE_con L34,-
endividamento.divida_bruta,"R$ 4,09 bilhoes","3.099.649 (circ L166) + 992.832 (n-circ L202) = 4.092.481 mil = R$ 4,09 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L166+L202 (BPP_con),1.00 (pergunta caixa-vs-divida)
endividamento.caixa_e_equivalentes,"R$ 6,36 bilhoes","6.360.547 mil = R$ 6,36 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L82 (BPA_con),1.00 (pergunta caixa-vs-divida)
endividamento.divida_liquida,"R$ -2,27 bilhoes","4.092.481 - 6.360.547 = -2.268.066 mil = R$ -2,27 bi",sim,calc: BPP L166+L202 - BPA L82,-
outros: Ativo Total (atual),"R$ 43,38 bilhoes","43.377.646 mil = R$ 43,38 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L80 (BPA_con),-
outros: Ativo Total (anterior),"R$ 42,65 bilhoes","42.645.030 mil = R$ 42,65 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L80 (BPA_con),-
outros: Patrimonio Liquido Consolidado (atual),"R$ 19,08 bilhoes","19.083.629 mil = R$ 19,08 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L240 (BPP_con),0.00 (BAIXO - artefato)
outros: Patrimonio Liquido Consolidado (anterior),"R$ 18,55 bilhoes","18.553.364 mil = R$ 18,55 bi",sim,cache/WEGE3_ITR_2026-03-31.txt L240 (BPP_con),-
"outros: Aplicacoes Financeiras (circ, +327,6%)","R$ 4,20 bilhoes","4.204.784 mil = R$ 4,20 bi; var (4.204.784-983.367)/983.367 = +327,6%",sim,cache/WEGE3_ITR_2026-03-31.txt L84 (BPA_con),-
"outros: Emprestimos e Financ. (circ, +197,6%)","R$ 3,10 bilhoes","3.099.649 mil = R$ 3,10 bi; var (3.099.649-1.041.508)/1.041.508 = +197,6%",sim,cache/WEGE3_ITR_2026-03-31.txt L166 (BPP_con),-
ebitda,nao_disponivel,(nao consta no ITR estruturado da CVM),sim*,ausente em DRE_con (correto),-
margem_liquida (derivada/prompt2),"16,68%","1.579.701/9.468.313 = 16,7%",sim,calc: DRE_con L34 / L8,0.33 (BAIXO - artefato)
