CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2025-12-31;1;BCO BRASIL S.A.;001023;DFP;154715;2026-02-11;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154715
00.001.180/0001-26;2025-12-31;1;AXIA ENERGIA S.A.;002437;DFP;154939;2026-02-26;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=154939
00.070.698/0001-11;2025-12-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;DFP;155793;2026-03-27;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155793
00.080.671/0001-00;2025-12-31;1;CARAMURU ALIMENTOS S.A.;026190;DFP;155564;2026-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155564
00.194.724/0001-13;2025-12-31;1;AUREN OPERAÇÕES S.A.;026174;DFP;155042;2026-03-03;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155042
00.242.184/0001-04;2025-12-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;DFP;155869;2026-03-31;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155869
00.336.701/0001-04;2025-12-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;DFP;155551;2026-03-20;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155551
00.357.038/0001-16;2025-12-31;1;AXIA ENERGIA NORTE S.A.;027472;DFP;155341;2026-03-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=155341
00.359.742/0001-08;2025-12-31;1;FICTOR ALIMENTOS S.A. - EM RECUPERAÇÃO JUDICIAL;015423;DFP;159108;2026-06-16;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159108
00.359.742/0001-08;2025-12-31;2;FICTOR ALIMENTOS S.A. - EM RECUPERAÇÃO JUDICIAL;015423;DFP;159200;2026-06-24;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=159200
