CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;CD_CVM;CATEG_DOC;ID_DOC;DT_RECEB;LINK_DOC
00.000.000/0001-91;2026-03-31;1;BCO BRASIL S.A.;001023;ITR;157308;2026-05-13;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157308
00.001.180/0001-26;2026-03-31;1;AXIA ENERGIA S.A.;002437;ITR;156724;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156724
00.070.698/0001-11;2026-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;014451;ITR;157402;2026-05-14;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157402
00.080.671/0001-00;2026-03-31;1;CARAMURU ALIMENTOS S.A.;026190;ITR;157637;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157637
00.194.724/0001-13;2026-03-31;1;AUREN OPERAÇÕES S.A.;026174;ITR;156745;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156745
00.242.184/0001-04;2026-03-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;026069;ITR;157246;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157246
00.336.701/0001-04;2026-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;011258;ITR;157583;2026-05-15;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157583
00.357.038/0001-16;2026-03-31;1;AXIA ENERGIA NORTE S.A.;027472;ITR;156774;2026-05-06;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=156774
00.383.281/0001-09;2026-03-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;157128;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157128
00.383.281/0001-09;2026-03-31;2;BNDES PARTICIPACOES S.A. - BNDESPAR;016772;ITR;157144;2026-05-12;http://www.rad.cvm.gov.br/ENETCONSULTA/frmDownloadDocumento.aspx?CodigoInstituicao=1&NumeroSequencialDocumento=157144
