TICKER,CD_CVM,NOME
LWSA3,024910,LWSA S/A
LAVV3,025062,LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.
SCAR3,13781,SAO CARLOS EMPREEND E PARTICIPACOES S.A.
CXSE3,23795,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.
POMO4,8451,MARCOPOLO S.A.
ZAMP3,24317,ZAMP SA
RECV3,25780,PETRORECÔNCAVO S.A.
FLRY3,21881,FLEURY S.A.
MULT3,20982,MULTIPLAN - EMPREEND IMOBILIARIOS S.A.
CSMG3,19445,CIA SANEAMENTO DE MINAS GERAIS-COPASA MG
KEPL3,7870,KEPLER WEBER S.A.
ROMI3,7510,ROMI S.A.
SHUL4,14664,SCHULZ S.A.
TUPY3,6343,TUPY S.A.
UNIP6,11592,UNIPAR CARBOCLORO S.A.
B3SA3,21610,"B3 S.A. - BRASIL, BOLSA, BALCÃO"
